Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:30, 2017-05-16 15:03:30,-84,2, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:26, 2017-05-16 15:03:40,-1,10, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:39, 2017-05-16 15:03:39,-85,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:11, 2017-05-16 15:04:11,-84,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:07, 2017-05-16 15:05:20,-88,13, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:35, 2017-05-16 15:05:02,-87,13, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:25, 2017-05-16 15:04:47,-86,4, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:16, 2017-05-16 15:05:06,-85,9, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:44, 2017-05-16 15:05:16,-84,69, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:15, 2017-05-16 15:04:24,-84,3, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:21, 2017-05-16 15:03:21,-1,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:53, 2017-05-16 15:04:11,-79,13, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:16, 2017-05-16 15:04:30,-82,76, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:52, 2017-05-16 15:05:20,-79,17, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:48, 2017-05-16 15:03:48,-1,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:06, 2017-05-16 15:04:06,-1,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:06, 2017-05-16 15:04:06,-1,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:06, 2017-05-16 15:04:06,-1,3, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:10, 2017-05-16 15:04:10,-1,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:15, 2017-05-16 15:04:52,-89,2, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:15, 2017-05-16 15:05:12,-82,34, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:12, 2017-05-16 15:05:18,-43,37, 00:26:99:22:22:22,TUDWeb,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:34, 2017-05-16 15:03:47,-42,19, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:02, 2017-05-16 15:05:03,-91,24, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:57, 2017-05-16 15:04:32,-82,20, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:06, 2017-05-16 15:04:38,-81,15, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:44, 2017-05-16 15:05:13,-71,41, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:25, 2017-05-16 15:05:05,-53,22, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:33, 2017-05-16 15:04:33,-51,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:38, 2017-05-16 15:05:19,-47,28, 00:26:99:22:22:22,,,,,,,,,,
