0 correct,1 correct,2 correct
46,339,615
46,397,557
6,253,741
4,200,796
2,218,780
5,241,754
46,378,576
50,355,595
10,299,691
87,418,495
14,308,678
0,159,841
0,177,823
16,276,708
82,441,477
21,327,652
9,229,762
38,385,577
40,405,555
7,214,779
8,232,760
53,383,564
30,394,576
8,302,690
19,290,691
11,321,668
24,321,655
19,265,716
25,313,662
20,321,659
14,342,644
13,331,656
23,306,671
10,304,686
17,312,671
11,286,703
21,292,687
37,361,602
16,344,640
19,299,682
5,271,724
21,353,626
58,386,556
8,208,784
3,228,769
54,408,538
45,416,539
6,239,755
17,285,698
73,399,528
12,275,713
0,177,823
0,136,864
13,318,669
74,489,437
26,352,622
42,405,553
27,409,564
1,250,749
3,204,793
9,199,792
3,256,741
51,436,513
41,355,604
34,380,586
37,407,556
4,236,760
3,203,794
6,207,787
1,259,740
43,385,572
46,377,577
18,323,659
76,429,495
15,312,673
0,144,856
1,174,825
11,291,698
109,451,440
13,301,686
6,233,761
34,398,568
44,436,520
1,196,803
5,197,798
51,399,550
43,367,590
10,275,715
19,288,693
10,306,684
22,343,635
11,265,724
18,315,667
22,307,671
7,341,652
16,309,675
17,283,700
16,340,644
17,302,681
16,298,686
23,302,675
18,341,641
12,357,631
14,291,695
8,260,732
20,365,615
46,387,567
6,230,764
7,230,763
51,419,530
34,434,532
1,221,778
23,305,672
64,446,490
9,296,695
0,191,809
0,155,845
7,327,666
82,467,451
17,339,644
50,361,589
28,408,564
7,243,750
3,186,811
7,189,804
2,274,724
60,433,507
43,355,602
