0 correct,1 correct,2 correct
71,509,420
967,33,0
961,39,0
868,130,2
970,25,5
998,2,0
921,77,2
945,55,0
945,55,0
978,22,0
911,81,8
924,75,1
878,121,1
936,63,1
972,28,0
915,84,1
975,25,0
942,57,1
964,36,0
925,74,1
914,84,2
939,59,2
912,86,2
888,112,0
984,16,0
977,22,1
931,69,0
984,16,0
905,93,2
956,42,2
964,36,0
906,90,4
937,63,0
991,9,0
943,57,0
950,50,0
947,53,0
958,42,0
953,44,3
895,105,0
953,46,1
978,22,0
947,53,0
973,27,0
894,103,3
971,28,1
962,38,0
931,69,0
899,99,2
912,86,2
942,57,1
942,58,0
952,46,2
972,28,0
934,65,1
975,25,0
899,100,1
924,73,3
897,103,0
957,42,1
943,57,0
810,185,5
970,30,0
879,118,3
911,89,0
915,84,1
943,53,4
940,55,5
953,46,1
957,43,0
967,33,0
959,41,0
948,50,2
956,44,0
985,15,0
910,89,1
965,35,0
944,54,2
885,115,0
952,48,0
915,85,0
925,75,0
972,28,0
862,134,4
949,51,0
939,61,0
948,52,0
924,75,1
927,73,0
922,78,0
933,66,1
970,30,0
920,78,2
934,64,2
950,50,0
929,71,0
919,81,0
968,29,3
943,57,0
976,24,0
938,61,1
911,88,1
936,62,2
958,42,0
925,74,1
953,46,1
971,28,1
867,126,7
952,47,1
947,52,1
924,76,0
950,50,0
959,41,0
937,63,0
948,51,1
924,74,2
958,42,0
917,83,0
946,52,2
978,21,1
978,22,0
941,59,0
953,47,0
963,37,0
958,41,1
924,76,0
927,73,0
