0 correct,1 correct,2 correct
148,569,283
377,507,116
234,440,326
362,412,226
367,407,226
197,491,312
361,516,123
196,496,308
492,371,137
370,425,205
353,489,158
78,519,403
83,493,424
286,499,215
439,396,165
495,375,130
218,427,355
449,410,141
222,529,249
284,507,209
277,528,195
213,531,256
530,345,125
267,442,291
201,553,246
132,583,285
460,420,120
201,496,303
290,441,269
456,394,150
144,593,263
204,559,237
108,545,347
219,564,217
248,545,207
263,544,193
290,552,158
183,557,260
270,559,171
86,541,373
204,575,221
149,534,317
356,527,117
111,534,355
103,551,346
338,525,137
166,536,298
206,573,221
169,533,298
359,517,124
130,555,315
147,552,301
168,555,277
112,535,353
383,488,129
136,545,319
315,539,146
182,583,235
246,569,185
78,501,421
100,515,385
253,522,225
197,583,220
301,541,158
181,572,247
328,546,126
188,509,303
217,541,242
184,555,261
129,543,328
370,519,111
142,549,309
308,516,176
245,551,204
278,540,182
61,490,449
63,516,421
268,563,169
253,538,209
273,533,194
138,497,365
269,566,165
187,562,251
241,566,193
225,577,198
159,599,242
300,556,144
101,523,376
214,589,197
115,559,326
379,487,134
162,524,314
163,567,270
368,499,133
144,589,267
196,563,241
120,508,372
257,552,191
277,487,236
403,429,168
402,430,168
228,498,274
264,532,204
86,529,385
406,387,207
253,508,239
373,502,125
104,558,338
150,535,315
396,482,122
308,452,240
379,416,205
322,404,274
575,344,81
155,531,314
194,529,277
182,582,236
114,545,341
547,378,75
262,467,271
304,517,179
173,566,261
432,418,150
177,447,376
176,457,367
352,446,202
193,552,255
275,544,181
