0 correct,1 correct,2 correct
303,508,189
986,14,0
920,79,1
959,41,0
954,46,0
940,59,1
936,62,2
992,7,1
855,139,6
920,80,0
919,80,1
935,65,0
973,26,1
945,54,1
972,28,0
880,119,1
969,31,0
920,80,0
908,91,1
948,52,0
871,124,5
961,38,1
935,65,0
926,72,2
946,54,0
908,91,1
977,23,0
981,19,0
955,45,0
949,51,0
958,42,0
916,82,2
945,55,0
927,72,1
962,38,0
990,10,0
948,51,1
964,36,0
986,14,0
871,128,1
953,46,1
959,41,0
919,81,0
972,28,0
912,88,0
955,44,1
945,54,1
938,62,0
911,86,3
932,68,0
998,2,0
915,84,1
941,59,0
975,24,1
962,35,3
941,58,1
956,43,1
974,25,1
967,33,0
980,20,0
956,44,0
953,47,0
925,70,5
972,28,0
966,34,0
973,27,0
981,19,0
894,106,0
958,40,2
930,70,0
933,64,3
957,42,1
981,19,0
945,55,0
971,29,0
926,73,1
888,110,2
874,124,2
849,146,5
936,61,3
961,39,0
987,12,1
986,14,0
966,34,0
968,29,3
971,28,1
970,30,0
975,25,0
966,34,0
944,56,0
968,32,0
869,127,4
872,127,1
965,35,0
901,97,2
984,16,0
983,17,0
960,40,0
924,72,4
947,53,0
928,71,1
937,62,1
976,24,0
896,104,0
976,24,0
972,28,0
804,189,7
974,26,0
954,45,1
947,51,2
994,6,0
945,54,1
939,60,1
959,41,0
970,30,0
941,59,0
919,81,0
931,69,0
978,22,0
975,25,0
990,10,0
882,113,5
912,88,0
892,108,0
879,119,2
976,24,0
998,2,0
